ensembl_id,ensembl_base_id,gene_symbol,gene_description
ENSG00000129472.15,ENSG00000129472,RAB2B,NA
ENSG00000129473.11,ENSG00000129473,BCL2L2,NA
ENSG00000129474.16,ENSG00000129474,AJUBA,NA
ENSG00000129480.13,ENSG00000129480,DTD2,NA
ENSG00000129484.14,ENSG00000129484,PARP2,NA
ENSG00000129493.15,ENSG00000129493,HEATR5A,NA
ENSG00000129514.8,ENSG00000129514,FOXA1,NA
ENSG00000129515.20,ENSG00000129515,SNX6,NA
ENSG00000129518.9,ENSG00000129518,EAPP,NA
ENSG00000129521.15,ENSG00000129521,EGLN3,NA
ENSG00000129534.14,ENSG00000129534,MIS18BP1,NA
ENSG00000129535.13,ENSG00000129535,NRL,NA
ENSG00000129538.14,ENSG00000129538,RNASE1,NA
ENSG00000129559.13,ENSG00000129559,NEDD8,NA
ENSG00000129562.11,ENSG00000129562,DAD1,NA
ENSG00000129566.13,ENSG00000129566,TEP1,NA
ENSG00000129595.14,ENSG00000129595,EPB41L4A,NA
ENSG00000129596.5,ENSG00000129596,CDO1,NA
ENSG00000129625.13,ENSG00000129625,REEP5,NA
ENSG00000129636.13,ENSG00000129636,ITFG1,NA
ENSG00000129646.14,ENSG00000129646,QRICH2,NA
ENSG00000129654.8,ENSG00000129654,FOXJ1,NA
ENSG00000129657.16,ENSG00000129657,SEC14L1,NA
ENSG00000129667.13,ENSG00000129667,RHBDF2,NA
ENSG00000129673.10,ENSG00000129673,AANAT,NA
ENSG00000129675.16,ENSG00000129675,ARHGEF6,NA
ENSG00000129680.16,ENSG00000129680,MAP7D3,NA
ENSG00000129682.16,ENSG00000129682,FGF13,NA
ENSG00000129691.16,ENSG00000129691,ASH2L,NA
ENSG00000129696.13,ENSG00000129696,TTI2,NA
ENSG00000129749.3,ENSG00000129749,CHRNA10,NA
ENSG00000129757.14,ENSG00000129757,CDKN1C,NA
ENSG00000129810.15,ENSG00000129810,SGO1,NA
ENSG00000129824.16,ENSG00000129824,RPS4Y1,NA
ENSG00000129910.8,ENSG00000129910,CDH15,NA
ENSG00000129911.9,ENSG00000129911,KLF16,NA
ENSG00000129925.11,ENSG00000129925,PGAP6,NA
ENSG00000129932.10,ENSG00000129932,DOHH,NA
ENSG00000129933.21,ENSG00000129933,MAU2,NA
ENSG00000129946.10,ENSG00000129946,SHC2,NA
ENSG00000129951.19,ENSG00000129951,PLPPR3,NA
ENSG00000129968.17,ENSG00000129968,ABHD17A,NA
ENSG00000129988.6,ENSG00000129988,LBP,NA
ENSG00000129990.15,ENSG00000129990,SYT5,NA
ENSG00000129991.13,ENSG00000129991,TNNI3,NA
ENSG00000129993.15,ENSG00000129993,CBFA2T3,NA
ENSG00000130005.13,ENSG00000130005,GAMT,NA
ENSG00000130021.15,ENSG00000130021,PUDP,NA
ENSG00000130023.16,ENSG00000130023,ERMARD,NA
ENSG00000130024.15,ENSG00000130024,PHF10,NA
ENSG00000130032.17,ENSG00000130032,PRRG3,NA
ENSG00000130035.9,ENSG00000130035,GALNT8,NA
ENSG00000130037.5,ENSG00000130037,KCNA5,NA
ENSG00000130038.10,ENSG00000130038,CRACR2A,NA
ENSG00000130045.16,ENSG00000130045,NXNL2,NA
ENSG00000130052.13,ENSG00000130052,STARD8,NA
ENSG00000130054.5,ENSG00000130054,FAM155B,NA
ENSG00000130055.14,ENSG00000130055,GDPD2,NA
ENSG00000130066.16,ENSG00000130066,SAT1,NA
ENSG00000130119.17,ENSG00000130119,GNL3L,NA
ENSG00000130147.16,ENSG00000130147,SH3BP4,NA
ENSG00000130150.12,ENSG00000130150,MOSPD2,NA
ENSG00000130158.14,ENSG00000130158,DOCK6,NA
ENSG00000130159.14,ENSG00000130159,ECSIT,NA
ENSG00000130164.14,ENSG00000130164,LDLR,NA
ENSG00000130165.10,ENSG00000130165,ELOF1,NA
ENSG00000130173.13,ENSG00000130173,ANGPTL8,NA
ENSG00000130175.10,ENSG00000130175,PRKCSH,NA
ENSG00000130176.8,ENSG00000130176,CNN1,NA
ENSG00000130177.16,ENSG00000130177,CDC16,NA
ENSG00000130182.8,ENSG00000130182,ZSCAN10,NA
ENSG00000130193.8,ENSG00000130193,THEM6,NA
ENSG00000130202.10,ENSG00000130202,NECTIN2,NA
ENSG00000130203.10,ENSG00000130203,APOE,NA
ENSG00000130204.13,ENSG00000130204,TOMM40,NA
ENSG00000130208.9,ENSG00000130208,APOC1,NA
ENSG00000130222.11,ENSG00000130222,GADD45G,NA
ENSG00000130224.15,ENSG00000130224,LRCH2,NA
ENSG00000130226.17,ENSG00000130226,DPP6,NA
ENSG00000130227.17,ENSG00000130227,XPO7,NA
ENSG00000130234.12,ENSG00000130234,ACE2,NA
ENSG00000130244.12,ENSG00000130244,FAM98C,NA
ENSG00000130254.12,ENSG00000130254,SAFB2,NA
ENSG00000130255.13,ENSG00000130255,RPL36,NA
ENSG00000130270.16,ENSG00000130270,ATP8B3,NA
ENSG00000130287.14,ENSG00000130287,NCAN,NA
ENSG00000130294.17,ENSG00000130294,KIF1A,NA
ENSG00000130299.17,ENSG00000130299,GTPBP3,NA
ENSG00000130300.9,ENSG00000130300,PLVAP,NA
ENSG00000130303.13,ENSG00000130303,BST2,NA
ENSG00000130304.17,ENSG00000130304,SLC27A1,NA
ENSG00000130305.17,ENSG00000130305,NSUN5,NA
ENSG00000130307.12,ENSG00000130307,USHBP1,NA
ENSG00000130309.11,ENSG00000130309,COLGALT1,NA
ENSG00000130311.11,ENSG00000130311,DDA1,NA
ENSG00000130312.7,ENSG00000130312,MRPL34,NA
ENSG00000130313.7,ENSG00000130313,PGLS,NA
ENSG00000130332.15,ENSG00000130332,LSM7,NA
ENSG00000130338.13,ENSG00000130338,TULP4,NA
ENSG00000130340.16,ENSG00000130340,SNX9,NA
ENSG00000130347.13,ENSG00000130347,RTN4IP1,NA
ENSG00000130348.11,ENSG00000130348,QRSL1,NA
ENSG00000130349.10,ENSG00000130349,MTRES1,NA
ENSG00000130363.12,ENSG00000130363,RSPH3,NA
ENSG00000130377.13,ENSG00000130377,ACSBG2,NA
ENSG00000130382.9,ENSG00000130382,MLLT1,NA
ENSG00000130396.20,ENSG00000130396,AFDN,NA
ENSG00000130402.13,ENSG00000130402,ACTN4,NA
ENSG00000130413.15,ENSG00000130413,STK33,NA
ENSG00000130414.13,ENSG00000130414,NDUFA10,NA
ENSG00000130427.3,ENSG00000130427,EPO,NA
ENSG00000130429.15,ENSG00000130429,ARPC1B,NA
ENSG00000130433.7,ENSG00000130433,CACNG6,NA
ENSG00000130449.6,ENSG00000130449,ZSWIM6,NA
ENSG00000130475.14,ENSG00000130475,FCHO1,NA
ENSG00000130477.15,ENSG00000130477,UNC13A,NA
ENSG00000130479.11,ENSG00000130479,MAP1S,NA
ENSG00000130487.9,ENSG00000130487,KLHDC7B,NA
ENSG00000130508.11,ENSG00000130508,PXDN,NA
ENSG00000130511.16,ENSG00000130511,SSBP4,NA
ENSG00000130513.6,ENSG00000130513,GDF15,NA
ENSG00000130517.14,ENSG00000130517,PGPEP1,NA
ENSG00000130518.17,ENSG00000130518,IQCN,NA
ENSG00000130520.11,ENSG00000130520,LSM4,NA
ENSG00000130522.6,ENSG00000130522,JUND,NA
ENSG00000130528.12,ENSG00000130528,HRC,NA
ENSG00000130529.16,ENSG00000130529,TRPM4,NA
ENSG00000130540.14,ENSG00000130540,SULT4A1,NA
ENSG00000130544.12,ENSG00000130544,ZNF557,NA
ENSG00000130545.16,ENSG00000130545,CRB3,NA
ENSG00000130558.20,ENSG00000130558,OLFM1,NA
ENSG00000130559.19,ENSG00000130559,CAMSAP1,NA
ENSG00000130560.9,ENSG00000130560,UBAC1,NA
ENSG00000130561.17,ENSG00000130561,SAG,NA
ENSG00000130584.12,ENSG00000130584,ZBTB46,NA
ENSG00000130589.16,ENSG00000130589,HELZ2,NA
ENSG00000130590.14,ENSG00000130590,SAMD10,NA
ENSG00000130592.17,ENSG00000130592,LSP1,NA
ENSG00000130595.19,ENSG00000130595,TNNT3,NA
ENSG00000130598.16,ENSG00000130598,TNNI2,NA
ENSG00000130600.19,ENSG00000130600,H19,NA
ENSG00000130635.16,ENSG00000130635,COL5A1,NA
ENSG00000130638.17,ENSG00000130638,ATXN10,NA
ENSG00000130640.13,ENSG00000130640,TUBGCP2,NA
ENSG00000130643.9,ENSG00000130643,CALY,NA
ENSG00000130649.10,ENSG00000130649,CYP2E1,NA
ENSG00000130653.16,ENSG00000130653,PNPLA7,NA
ENSG00000130669.17,ENSG00000130669,PAK4,NA
ENSG00000130675.15,ENSG00000130675,MNX1,NA
ENSG00000130684.14,ENSG00000130684,ZNF337,NA
ENSG00000130695.16,ENSG00000130695,CEP85,NA
ENSG00000130699.18,ENSG00000130699,TAF4,NA
ENSG00000130700.7,ENSG00000130700,GATA5,NA
ENSG00000130701.4,ENSG00000130701,RBBP8NL,NA
ENSG00000130702.15,ENSG00000130702,LAMA5,NA
ENSG00000130703.17,ENSG00000130703,OSBPL2,NA
ENSG00000130706.13,ENSG00000130706,ADRM1,NA
ENSG00000130707.18,ENSG00000130707,ASS1,NA
ENSG00000130711.5,ENSG00000130711,PRDM12,NA
ENSG00000130713.16,ENSG00000130713,EXOSC2,NA
ENSG00000130714.18,ENSG00000130714,POMT1,NA
ENSG00000130717.13,ENSG00000130717,UCK1,NA
ENSG00000130720.13,ENSG00000130720,FIBCD1,NA
ENSG00000130723.21,ENSG00000130723,PRRC2B,NA
ENSG00000130724.9,ENSG00000130724,CHMP2A,NA
ENSG00000130725.8,ENSG00000130725,UBE2M,NA
ENSG00000130726.12,ENSG00000130726,TRIM28,NA
ENSG00000130731.16,ENSG00000130731,METTL26,NA
ENSG00000130733.11,ENSG00000130733,YIPF2,NA
ENSG00000130734.10,ENSG00000130734,ATG4D,NA
ENSG00000130741.11,ENSG00000130741,EIF2S3,NA
ENSG00000130748.7,ENSG00000130748,TMEM160,NA
ENSG00000130749.10,ENSG00000130749,ZC3H4,NA
ENSG00000130751.10,ENSG00000130751,NPAS1,NA
ENSG00000130755.13,ENSG00000130755,GMFG,NA
ENSG00000130758.8,ENSG00000130758,MAP3K10,NA
ENSG00000130762.15,ENSG00000130762,ARHGEF16,NA
ENSG00000130764.10,ENSG00000130764,LRRC47,NA
ENSG00000130766.5,ENSG00000130766,SESN2,NA
ENSG00000130768.15,ENSG00000130768,SMPDL3B,NA
ENSG00000130770.18,ENSG00000130770,ATP5IF1,NA
ENSG00000130772.14,ENSG00000130772,MED18,NA
ENSG00000130775.16,ENSG00000130775,THEMIS2,NA
ENSG00000130779.21,ENSG00000130779,CLIP1,NA
ENSG00000130783.14,ENSG00000130783,CCDC62,NA
ENSG00000130787.14,ENSG00000130787,HIP1R,NA
ENSG00000130803.15,ENSG00000130803,ZNF317,NA
ENSG00000130810.20,ENSG00000130810,PPAN,NA
ENSG00000130811.12,ENSG00000130811,EIF3G,NA
ENSG00000130812.10,ENSG00000130812,ANGPTL6,NA
ENSG00000130813.18,ENSG00000130813,SHFL,NA
ENSG00000130816.17,ENSG00000130816,DNMT1,NA
ENSG00000130818.12,ENSG00000130818,ZNF426,NA
ENSG00000130821.17,ENSG00000130821,SLC6A8,NA
ENSG00000130822.16,ENSG00000130822,PNCK,NA
ENSG00000130826.18,ENSG00000130826,DKC1,NA
ENSG00000130827.6,ENSG00000130827,PLXNA3,NA
ENSG00000130829.18,ENSG00000130829,DUSP9,NA
ENSG00000130830.15,ENSG00000130830,MPP1,NA
ENSG00000130844.19,ENSG00000130844,ZNF331,NA
ENSG00000130856.17,ENSG00000130856,ZNF236,NA
ENSG00000130881.14,ENSG00000130881,LRP3,NA
ENSG00000130921.8,ENSG00000130921,C12orf65,NA
ENSG00000130935.10,ENSG00000130935,NOL11,NA
ENSG00000130939.20,ENSG00000130939,UBE4B,NA
ENSG00000130940.15,ENSG00000130940,CASZ1,NA
ENSG00000130943.7,ENSG00000130943,PKDREJ,NA
ENSG00000130950.14,ENSG00000130950,NUTM2F,NA
ENSG00000130956.14,ENSG00000130956,HABP4,NA
ENSG00000130957.5,ENSG00000130957,FBP2,NA
ENSG00000130958.13,ENSG00000130958,SLC35D2,NA
ENSG00000130962.18,ENSG00000130962,PRRG1,NA
ENSG00000130985.17,ENSG00000130985,UBA1,NA
ENSG00000130988.13,ENSG00000130988,RGN,NA
ENSG00000130997.16,ENSG00000130997,POLN,NA
ENSG00000131002.12,ENSG00000131002,TXLNGY,NA
ENSG00000131013.4,ENSG00000131013,PPIL4,NA
ENSG00000131015.5,ENSG00000131015,ULBP2,NA
ENSG00000131016.17,ENSG00000131016,AKAP12,NA
ENSG00000131018.24,ENSG00000131018,SYNE1,NA
ENSG00000131019.11,ENSG00000131019,ULBP3,NA
ENSG00000131023.13,ENSG00000131023,LATS1,NA
ENSG00000131037.15,ENSG00000131037,EPS8L1,NA
ENSG00000131042.15,ENSG00000131042,LILRB2,NA
ENSG00000131043.12,ENSG00000131043,AAR2,NA
ENSG00000131044.17,ENSG00000131044,TTLL9,NA
ENSG00000131050.11,ENSG00000131050,BPIFA2,NA
ENSG00000131051.24,ENSG00000131051,RBM39,NA
ENSG00000131055.5,ENSG00000131055,COX4I2,NA
ENSG00000131061.14,ENSG00000131061,ZNF341,NA
ENSG00000131067.17,ENSG00000131067,GGT7,NA
ENSG00000131069.20,ENSG00000131069,ACSS2,NA
ENSG00000131080.15,ENSG00000131080,EDA2R,NA
ENSG00000131089.17,ENSG00000131089,ARHGEF9,NA
ENSG00000131094.4,ENSG00000131094,C1QL1,NA
ENSG00000131095.13,ENSG00000131095,GFAP,NA
ENSG00000131096.10,ENSG00000131096,PYY,NA
ENSG00000131097.7,ENSG00000131097,HIGD1B,NA
ENSG00000131100.13,ENSG00000131100,ATP6V1E1,NA
ENSG00000131115.16,ENSG00000131115,ZNF227,NA
ENSG00000131116.12,ENSG00000131116,ZNF428,NA
ENSG00000131126.19,ENSG00000131126,TEX101,NA
ENSG00000131127.14,ENSG00000131127,ZNF141,NA
ENSG00000131142.13,ENSG00000131142,CCL25,NA
ENSG00000131143.10,ENSG00000131143,COX4I1,NA
ENSG00000131148.9,ENSG00000131148,EMC8,NA
ENSG00000131149.19,ENSG00000131149,GSE1,NA
ENSG00000131153.9,ENSG00000131153,GINS2,NA
ENSG00000131165.16,ENSG00000131165,CHMP1A,NA
ENSG00000131171.13,ENSG00000131171,SH3BGRL,NA
ENSG00000131174.7,ENSG00000131174,COX7B,NA
ENSG00000131183.11,ENSG00000131183,SLC34A1,NA
ENSG00000131187.10,ENSG00000131187,F12,NA
ENSG00000131188.12,ENSG00000131188,PRR7,NA
ENSG00000131196.18,ENSG00000131196,NFATC1,NA
ENSG00000131203.13,ENSG00000131203,IDO1,NA
ENSG00000131236.18,ENSG00000131236,CAP1,NA
ENSG00000131238.18,ENSG00000131238,PPT1,NA
ENSG00000131242.18,ENSG00000131242,RAB11FIP4,NA
ENSG00000131263.13,ENSG00000131263,RLIM,NA
ENSG00000131269.19,ENSG00000131269,ABCB7,NA
ENSG00000131323.16,ENSG00000131323,TRAF3,NA
ENSG00000131351.15,ENSG00000131351,HAUS8,NA
ENSG00000131355.15,ENSG00000131355,ADGRE3,NA
ENSG00000131368.8,ENSG00000131368,MRPS25,NA
ENSG00000131370.16,ENSG00000131370,SH3BP5,NA
ENSG00000131373.15,ENSG00000131373,HACL1,NA
ENSG00000131374.14,ENSG00000131374,TBC1D5,NA
ENSG00000131375.10,ENSG00000131375,CAPN7,NA
ENSG00000131378.14,ENSG00000131378,RFTN1,NA
ENSG00000131379.10,ENSG00000131379,C3orf20,NA
ENSG00000131381.12,ENSG00000131381,RBSN,NA
ENSG00000131386.19,ENSG00000131386,GALNT15,NA
ENSG00000131389.17,ENSG00000131389,SLC6A6,NA
ENSG00000131398.15,ENSG00000131398,KCNC3,NA
ENSG00000131400.8,ENSG00000131400,NAPSA,NA
ENSG00000131401.11,ENSG00000131401,NAPSB,NA
ENSG00000131408.15,ENSG00000131408,NR1H2,NA
ENSG00000131409.13,ENSG00000131409,LRRC4B,NA
ENSG00000131435.13,ENSG00000131435,PDLIM4,NA
ENSG00000131437.16,ENSG00000131437,KIF3A,NA
ENSG00000131446.17,ENSG00000131446,MGAT1,NA
ENSG00000131459.13,ENSG00000131459,GFPT2,NA
ENSG00000131462.8,ENSG00000131462,TUBG1,NA
ENSG00000131467.11,ENSG00000131467,PSME3,NA
ENSG00000131469.15,ENSG00000131469,RPL27,NA
ENSG00000131470.15,ENSG00000131470,PSMC3IP,NA
ENSG00000131471.7,ENSG00000131471,AOC3,NA
ENSG00000131473.17,ENSG00000131473,ACLY,NA
ENSG00000131475.7,ENSG00000131475,VPS25,NA
ENSG00000131477.11,ENSG00000131477,RAMP2,NA
ENSG00000131480.9,ENSG00000131480,AOC2,NA
ENSG00000131482.10,ENSG00000131482,G6PC,NA
ENSG00000131495.9,ENSG00000131495,NDUFA2,NA
ENSG00000131503.21,ENSG00000131503,ANKHD1,NA
ENSG00000131504.17,ENSG00000131504,DIAPH1,NA
ENSG00000131507.11,ENSG00000131507,NDFIP1,NA
ENSG00000131508.16,ENSG00000131508,UBE2D2,NA
ENSG00000131558.15,ENSG00000131558,EXOC4,NA
ENSG00000131584.19,ENSG00000131584,ACAP3,NA
ENSG00000131591.18,ENSG00000131591,C1orf159,NA
ENSG00000131620.17,ENSG00000131620,ANO1,NA
ENSG00000131626.19,ENSG00000131626,PPFIA1,NA
ENSG00000131634.14,ENSG00000131634,TMEM204,NA
ENSG00000131650.14,ENSG00000131650,KREMEN2,NA
ENSG00000131652.14,ENSG00000131652,THOC6,NA
ENSG00000131653.13,ENSG00000131653,TRAF7,NA
ENSG00000131668.14,ENSG00000131668,BARX1,NA
ENSG00000131669.10,ENSG00000131669,NINJ1,NA
ENSG00000131686.15,ENSG00000131686,CA6,NA
ENSG00000131697.18,ENSG00000131697,NPHP4,NA
ENSG00000131711.15,ENSG00000131711,MAP1B,NA
ENSG00000131724.11,ENSG00000131724,IL13RA1,NA
ENSG00000131725.14,ENSG00000131725,WDR44,NA
ENSG00000131730.16,ENSG00000131730,CKMT2,NA
ENSG00000131732.12,ENSG00000131732,ZCCHC9,NA
ENSG00000131737.5,ENSG00000131737,KRT34,NA
ENSG00000131738.11,ENSG00000131738,KRT33B,NA
ENSG00000131746.13,ENSG00000131746,TNS4,NA
ENSG00000131747.15,ENSG00000131747,TOP2A,NA
ENSG00000131748.16,ENSG00000131748,STARD3,NA
ENSG00000131759.18,ENSG00000131759,RARA,NA
ENSG00000131771.14,ENSG00000131771,PPP1R1B,NA
ENSG00000131773.14,ENSG00000131773,KHDRBS3,NA
ENSG00000131778.19,ENSG00000131778,CHD1L,NA
ENSG00000131779.11,ENSG00000131779,PEX11B,NA
ENSG00000131781.13,ENSG00000131781,FMO5,NA
ENSG00000131788.16,ENSG00000131788,PIAS3,NA
ENSG00000131791.8,ENSG00000131791,PRKAB2,NA
ENSG00000131797.12,ENSG00000131797,CLUHP3,NA
ENSG00000131828.14,ENSG00000131828,PDHA1,NA
ENSG00000131831.18,ENSG00000131831,RAI2,NA
ENSG00000131844.16,ENSG00000131844,MCCC2,NA
ENSG00000131845.15,ENSG00000131845,ZNF304,NA
ENSG00000131848.9,ENSG00000131848,ZSCAN5A,NA
ENSG00000131849.12,ENSG00000131849,ZNF132,NA
ENSG00000131871.15,ENSG00000131871,SELENOS,NA
ENSG00000131873.7,ENSG00000131873,CHSY1,NA
ENSG00000131876.17,ENSG00000131876,SNRPA1,NA
ENSG00000131885.17,ENSG00000131885,KRT17P1,NA
ENSG00000131899.11,ENSG00000131899,LLGL1,NA
ENSG00000131910.5,ENSG00000131910,NR0B2,NA
ENSG00000131931.8,ENSG00000131931,THAP1,NA
ENSG00000131941.8,ENSG00000131941,RHPN2,NA
ENSG00000131943.18,ENSG00000131943,C19orf12,NA
ENSG00000131944.10,ENSG00000131944,FAAP24,NA
ENSG00000131951.11,ENSG00000131951,LRRC9,NA
ENSG00000131966.14,ENSG00000131966,ACTR10,NA
ENSG00000131969.15,ENSG00000131969,ABHD12B,NA
ENSG00000131979.20,ENSG00000131979,GCH1,NA
ENSG00000131981.16,ENSG00000131981,LGALS3,NA
ENSG00000132000.13,ENSG00000132000,PODNL1,NA
ENSG00000132002.9,ENSG00000132002,DNAJB1,NA
ENSG00000132003.9,ENSG00000132003,ZSWIM4,NA
ENSG00000132004.13,ENSG00000132004,FBXW9,NA
ENSG00000132005.9,ENSG00000132005,RFX1,NA
ENSG00000132010.16,ENSG00000132010,ZNF20,NA
ENSG00000132016.11,ENSG00000132016,C19orf57,NA
ENSG00000132017.10,ENSG00000132017,DCAF15,NA
ENSG00000132024.17,ENSG00000132024,CC2D1A,NA
ENSG00000132026.14,ENSG00000132026,RTBDN,NA
ENSG00000132031.13,ENSG00000132031,MATN3,NA
ENSG00000132109.10,ENSG00000132109,TRIM21,NA
ENSG00000132122.12,ENSG00000132122,SPATA6,NA
ENSG00000132128.16,ENSG00000132128,LRRC41,NA
ENSG00000132141.14,ENSG00000132141,CCT6B,NA
ENSG00000132153.15,ENSG00000132153,DHX30,NA
ENSG00000132155.13,ENSG00000132155,RAF1,NA
ENSG00000132164.10,ENSG00000132164,SLC6A11,NA
ENSG00000132170.23,ENSG00000132170,PPARG,NA
ENSG00000132182.12,ENSG00000132182,NUP210,NA
ENSG00000132185.18,ENSG00000132185,FCRLA,NA
ENSG00000132196.15,ENSG00000132196,HSD17B7,NA
ENSG00000132199.20,ENSG00000132199,ENOSF1,NA
ENSG00000132204.14,ENSG00000132204,LINC00470,NA
ENSG00000132205.11,ENSG00000132205,EMILIN2,NA
ENSG00000132254.13,ENSG00000132254,ARFIP2,NA
ENSG00000132256.19,ENSG00000132256,TRIM5,NA
ENSG00000132259.13,ENSG00000132259,CNGA4,NA
ENSG00000132274.16,ENSG00000132274,TRIM22,NA
ENSG00000132275.11,ENSG00000132275,RRP8,NA
ENSG00000132286.12,ENSG00000132286,TIMM10B,NA
ENSG00000132294.15,ENSG00000132294,EFR3A,NA
ENSG00000132300.19,ENSG00000132300,PTCD3,NA
ENSG00000132305.21,ENSG00000132305,IMMT,NA
ENSG00000132313.15,ENSG00000132313,MRPL35,NA
ENSG00000132321.17,ENSG00000132321,IQCA1,NA
ENSG00000132323.9,ENSG00000132323,ILKAP,NA
ENSG00000132326.12,ENSG00000132326,PER2,NA
ENSG00000132329.11,ENSG00000132329,RAMP1,NA
ENSG00000132330.18,ENSG00000132330,SCLY,NA
ENSG00000132334.17,ENSG00000132334,PTPRE,NA
ENSG00000132341.12,ENSG00000132341,RAN,NA
ENSG00000132356.11,ENSG00000132356,PRKAA1,NA
ENSG00000132357.14,ENSG00000132357,CARD6,NA
ENSG00000132359.15,ENSG00000132359,RAP1GAP2,NA
ENSG00000132361.18,ENSG00000132361,CLUH,NA
ENSG00000132376.20,ENSG00000132376,INPP5K,NA
ENSG00000132382.15,ENSG00000132382,MYBBP1A,NA
ENSG00000132383.12,ENSG00000132383,RPA1,NA
ENSG00000132386.11,ENSG00000132386,SERPINF1,NA
ENSG00000132388.12,ENSG00000132388,UBE2G1,NA
ENSG00000132394.11,ENSG00000132394,EEFSEC,NA
ENSG00000132405.19,ENSG00000132405,TBC1D14,NA
ENSG00000132406.12,ENSG00000132406,TMEM128,NA
ENSG00000132423.12,ENSG00000132423,COQ3,NA
ENSG00000132424.16,ENSG00000132424,PNISR,NA
ENSG00000132429.10,ENSG00000132429,POPDC3,NA
ENSG00000132432.14,ENSG00000132432,SEC61G,NA
ENSG00000132434.9,ENSG00000132434,LANCL2,NA
ENSG00000132436.11,ENSG00000132436,FIGNL1,NA
ENSG00000132437.18,ENSG00000132437,DDC,NA
ENSG00000132463.14,ENSG00000132463,GRSF1,NA
ENSG00000132464.13,ENSG00000132464,ENAM,NA
ENSG00000132465.12,ENSG00000132465,JCHAIN,NA
ENSG00000132466.19,ENSG00000132466,ANKRD17,NA
ENSG00000132467.4,ENSG00000132467,UTP3,NA
ENSG00000132470.14,ENSG00000132470,ITGB4,NA
ENSG00000132471.12,ENSG00000132471,WBP2,NA
ENSG00000132475.10,ENSG00000132475,H3-3B,NA
ENSG00000132478.10,ENSG00000132478,UNK,NA
ENSG00000132481.7,ENSG00000132481,TRIM47,NA
ENSG00000132485.14,ENSG00000132485,ZRANB2,NA
ENSG00000132507.18,ENSG00000132507,EIF5A,NA
ENSG00000132510.10,ENSG00000132510,KDM6B,NA
ENSG00000132514.14,ENSG00000132514,CLEC10A,NA
ENSG00000132517.15,ENSG00000132517,SLC52A1,NA
ENSG00000132518.7,ENSG00000132518,GUCY2D,NA
ENSG00000132522.16,ENSG00000132522,GPS2,NA
ENSG00000132530.17,ENSG00000132530,XAF1,NA
ENSG00000132535.21,ENSG00000132535,DLG4,NA
ENSG00000132541.11,ENSG00000132541,RIDA,NA
ENSG00000132549.18,ENSG00000132549,VPS13B,NA
ENSG00000132554.20,ENSG00000132554,RGS22,NA
ENSG00000132561.14,ENSG00000132561,MATN2,NA
ENSG00000132563.16,ENSG00000132563,REEP2,NA
ENSG00000132570.15,ENSG00000132570,PCBD2,NA
ENSG00000132581.10,ENSG00000132581,SDF2,NA
ENSG00000132589.16,ENSG00000132589,FLOT2,NA
ENSG00000132591.12,ENSG00000132591,ERAL1,NA
ENSG00000132600.17,ENSG00000132600,PRMT7,NA
ENSG00000132603.15,ENSG00000132603,NIP7,NA
ENSG00000132604.11,ENSG00000132604,TERF2,NA
ENSG00000132612.16,ENSG00000132612,VPS4A,NA
ENSG00000132613.15,ENSG00000132613,MTSS2,NA
ENSG00000132622.11,ENSG00000132622,HSPA12B,NA
ENSG00000132623.16,ENSG00000132623,ANKEF1,NA
ENSG00000132635.17,ENSG00000132635,PCED1A,NA
ENSG00000132639.13,ENSG00000132639,SNAP25,NA
ENSG00000132640.15,ENSG00000132640,BTBD3,NA
ENSG00000132646.11,ENSG00000132646,PCNA,NA
ENSG00000132661.4,ENSG00000132661,NXT1,NA
ENSG00000132664.12,ENSG00000132664,POLR3F,NA
ENSG00000132669.13,ENSG00000132669,RIN2,NA
ENSG00000132670.20,ENSG00000132670,PTPRA,NA
ENSG00000132676.16,ENSG00000132676,DAP3,NA
ENSG00000132677.13,ENSG00000132677,RHBG,NA
ENSG00000132680.11,ENSG00000132680,KHDC4,NA
ENSG00000132681.17,ENSG00000132681,ATP1A4,NA
ENSG00000132688.11,ENSG00000132688,NES,NA
ENSG00000132692.19,ENSG00000132692,BCAN,NA
ENSG00000132693.12,ENSG00000132693,CRP,NA
ENSG00000132694.19,ENSG00000132694,ARHGEF11,NA
ENSG00000132698.15,ENSG00000132698,RAB25,NA
ENSG00000132702.13,ENSG00000132702,HAPLN2,NA
ENSG00000132703.4,ENSG00000132703,APCS,NA
ENSG00000132704.16,ENSG00000132704,FCRL2,NA
ENSG00000132716.19,ENSG00000132716,DCAF8,NA
ENSG00000132718.9,ENSG00000132718,SYT11,NA
ENSG00000132740.10,ENSG00000132740,IGHMBP2,NA
ENSG00000132744.8,ENSG00000132744,ACY3,NA
ENSG00000132746.15,ENSG00000132746,ALDH3B2,NA
ENSG00000132749.11,ENSG00000132749,TESMIN,NA
ENSG00000132763.15,ENSG00000132763,MMACHC,NA
ENSG00000132768.14,ENSG00000132768,DPH2,NA
ENSG00000132773.12,ENSG00000132773,TOE1,NA
ENSG00000132780.17,ENSG00000132780,NASP,NA
ENSG00000132781.19,ENSG00000132781,MUTYH,NA
ENSG00000132792.19,ENSG00000132792,CTNNBL1,NA
ENSG00000132793.12,ENSG00000132793,LPIN3,NA
ENSG00000132801.7,ENSG00000132801,ZSWIM3,NA
ENSG00000132819.17,ENSG00000132819,RBM38,NA
